id,label,name,license_plate,status,city,zipcode,order_id,product,quantity,status,to_id
O_0,assigned_to,,,,,,,,,,D_3923
O_1,assigned_to,,,,,,,,,,D_90176
O_2,assigned_to,,,,,,,,,,D_64233
O_3,assigned_to,,,,,,,,,,D_53778
O_4,assigned_to,,,,,,,,,,D_88260
O_5,assigned_to,,,,,,,,,,D_82696
O_6,assigned_to,,,,,,,,,,D_12180
O_7,assigned_to,,,,,,,,,,D_65000
O_8,assigned_to,,,,,,,,,,D_93491
O_9,assigned_to,,,,,,,,,,D_62504
O_10,assigned_to,,,,,,,,,,D_62584
O_11,assigned_to,,,,,,,,,,D_13867
O_12,assigned_to,,,,,,,,,,D_63123
O_13,assigned_to,,,,,,,,,,D_72320
O_14,assigned_to,,,,,,,,,,D_21338
O_15,assigned_to,,,,,,,,,,D_97697
O_16,assigned_to,,,,,,,,,,D_53244
O_17,assigned_to,,,,,,,,,,D_42728
O_18,assigned_to,,,,,,,,,,D_32750
O_19,assigned_to,,,,,,,,,,D_98185
O_20,assigned_to,,,,,,,,,,D_2312
O_21,assigned_to,,,,,,,,,,D_11649
O_22,assigned_to,,,,,,,,,,D_31389
O_23,assigned_to,,,,,,,,,,D_87091
O_24,assigned_to,,,,,,,,,,D_35206
O_25,assigned_to,,,,,,,,,,D_23647
O_26,assigned_to,,,,,,,,,,D_51744
O_27,assigned_to,,,,,,,,,,D_51153
O_28,assigned_to,,,,,,,,,,D_33940
O_29,assigned_to,,,,,,,,,,D_44639
O_30,assigned_to,,,,,,,,,,D_94861
O_31,assigned_to,,,,,,,,,,D_59289
O_32,assigned_to,,,,,,,,,,D_62412
O_33,assigned_to,,,,,,,,,,D_78256
O_34,assigned_to,,,,,,,,,,D_18349
O_35,assigned_to,,,,,,,,,,D_18936
O_36,assigned_to,,,,,,,,,,D_81992
O_37,assigned_to,,,,,,,,,,D_19555
O_38,assigned_to,,,,,,,,,,D_86523
O_39,assigned_to,,,,,,,,,,D_8829
O_40,assigned_to,,,,,,,,,,D_71264
O_41,assigned_to,,,,,,,,,,D_54496
O_42,assigned_to,,,,,,,,,,D_47772
O_43,assigned_to,,,,,,,,,,D_58657
O_44,assigned_to,,,,,,,,,,D_63298
O_45,assigned_to,,,,,,,,,,D_34315
O_46,assigned_to,,,,,,,,,,D_9055
O_47,assigned_to,,,,,,,,,,D_53855
O_48,assigned_to,,,,,,,,,,D_75192
O_49,assigned_to,,,,,,,,,,D_24378
O_50,assigned_to,,,,,,,,,,D_40261
O_51,assigned_to,,,,,,,,,,D_60419
O_52,assigned_to,,,,,,,,,,D_86982
O_53,assigned_to,,,,,,,,,,D_53910
O_54,assigned_to,,,,,,,,,,D_18188
O_55,assigned_to,,,,,,,,,,D_55497
O_56,assigned_to,,,,,,,,,,D_66357
O_57,assigned_to,,,,,,,,,,D_47044
O_58,assigned_to,,,,,,,,,,D_34055
O_59,assigned_to,,,,,,,,,,D_62452
O_60,assigned_to,,,,,,,,,,D_37891
O_61,assigned_to,,,,,,,,,,D_99701
O_62,assigned_to,,,,,,,,,,D_90925
O_63,assigned_to,,,,,,,,,,D_85987
O_64,assigned_to,,,,,,,,,,D_42049
O_65,assigned_to,,,,,,,,,,D_22275
O_66,assigned_to,,,,,,,,,,D_66537
O_67,assigned_to,,,,,,,,,,D_49076
O_68,assigned_to,,,,,,,,,,D_44963
O_69,assigned_to,,,,,,,,,,D_92193
O_70,assigned_to,,,,,,,,,,D_50477
O_71,assigned_to,,,,,,,,,,D_28631
O_72,assigned_to,,,,,,,,,,D_54460
O_73,assigned_to,,,,,,,,,,D_63521
O_74,assigned_to,,,,,,,,,,D_62555
O_75,assigned_to,,,,,,,,,,D_94552
O_76,assigned_to,,,,,,,,,,D_39584
O_77,assigned_to,,,,,,,,,,D_2898
O_78,assigned_to,,,,,,,,,,D_13853
O_79,assigned_to,,,,,,,,,,D_32167
O_80,assigned_to,,,,,,,,,,D_22963
O_81,assigned_to,,,,,,,,,,D_6286
O_82,assigned_to,,,,,,,,,,D_86480
O_83,assigned_to,,,,,,,,,,D_3865
O_84,assigned_to,,,,,,,,,,D_32262
O_85,assigned_to,,,,,,,,,,D_15056
O_86,assigned_to,,,,,,,,,,D_87177
O_87,assigned_to,,,,,,,,,,D_65627
O_88,assigned_to,,,,,,,,,,D_8831
O_89,assigned_to,,,,,,,,,,D_40567
O_90,assigned_to,,,,,,,,,,D_4749
O_91,assigned_to,,,,,,,,,,D_3450
O_92,assigned_to,,,,,,,,,,D_36075
O_93,assigned_to,,,,,,,,,,D_20444
O_94,assigned_to,,,,,,,,,,D_71296
O_95,assigned_to,,,,,,,,,,D_86083
O_96,assigned_to,,,,,,,,,,D_53122
O_97,assigned_to,,,,,,,,,,D_94289
O_98,assigned_to,,,,,,,,,,D_30942
O_99,assigned_to,,,,,,,,,,D_84574
O_100,assigned_to,,,,,,,,,,D_65120
O_101,assigned_to,,,,,,,,,,D_62153
O_102,assigned_to,,,,,,,,,,D_85583
O_103,assigned_to,,,,,,,,,,D_76514
O_104,assigned_to,,,,,,,,,,D_54845
O_105,assigned_to,,,,,,,,,,D_64072
O_106,assigned_to,,,,,,,,,,D_83513
O_107,assigned_to,,,,,,,,,,D_6973
O_108,assigned_to,,,,,,,,,,D_78893
O_109,assigned_to,,,,,,,,,,D_48081
O_110,assigned_to,,,,,,,,,,D_20935
O_111,assigned_to,,,,,,,,,,D_23133
O_112,assigned_to,,,,,,,,,,D_31933
O_113,assigned_to,,,,,,,,,,D_9124
O_114,assigned_to,,,,,,,,,,D_19635
O_115,assigned_to,,,,,,,,,,D_1087
O_116,assigned_to,,,,,,,,,,D_10821
O_117,assigned_to,,,,,,,,,,D_67935
O_118,assigned_to,,,,,,,,,,D_15505
O_119,assigned_to,,,,,,,,,,D_86483
O_120,assigned_to,,,,,,,,,,D_13809
O_121,assigned_to,,,,,,,,,,D_32201
O_122,assigned_to,,,,,,,,,,D_20863
O_123,assigned_to,,,,,,,,,,D_84465
O_124,assigned_to,,,,,,,,,,D_33742
O_125,assigned_to,,,,,,,,,,D_70113
O_126,assigned_to,,,,,,,,,,D_8681
O_127,assigned_to,,,,,,,,,,D_90182
O_128,assigned_to,,,,,,,,,,D_82463
O_129,assigned_to,,,,,,,,,,D_17476
O_130,assigned_to,,,,,,,,,,D_28678
O_131,assigned_to,,,,,,,,,,D_11296
O_132,assigned_to,,,,,,,,,,D_70127
O_133,assigned_to,,,,,,,,,,D_44760
O_134,assigned_to,,,,,,,,,,D_80137
O_135,assigned_to,,,,,,,,,,D_10741
O_136,assigned_to,,,,,,,,,,D_64342
O_137,assigned_to,,,,,,,,,,D_81901
O_138,assigned_to,,,,,,,,,,D_80165
O_139,assigned_to,,,,,,,,,,D_1479
O_140,assigned_to,,,,,,,,,,D_38975
O_141,assigned_to,,,,,,,,,,D_14800
O_142,assigned_to,,,,,,,,,,D_85566
O_143,assigned_to,,,,,,,,,,D_76335
O_144,assigned_to,,,,,,,,,,D_67340
O_145,assigned_to,,,,,,,,,,D_58746
O_146,assigned_to,,,,,,,,,,D_89593
O_147,assigned_to,,,,,,,,,,D_74659
O_148,assigned_to,,,,,,,,,,D_82306
O_149,assigned_to,,,,,,,,,,D_46731
O_150,assigned_to,,,,,,,,,,D_77481
O_151,assigned_to,,,,,,,,,,D_21465
O_152,assigned_to,,,,,,,,,,D_27100
O_153,assigned_to,,,,,,,,,,D_62936
O_154,assigned_to,,,,,,,,,,D_36037
O_155,assigned_to,,,,,,,,,,D_25207
O_156,assigned_to,,,,,,,,,,D_76824
O_157,assigned_to,,,,,,,,,,D_69017
