id,label,name,license_plate,status,city,zipcode,order_id,product,quantity,status,to_id
O_0,belongs_to,,,,,,,,,,L_6064
O_1,belongs_to,,,,,,,,,,L_99449
O_2,belongs_to,,,,,,,,,,L_88647
O_3,belongs_to,,,,,,,,,,L_49187
O_4,belongs_to,,,,,,,,,,L_60975
O_5,belongs_to,,,,,,,,,,L_89366
O_6,belongs_to,,,,,,,,,,L_37210
O_7,belongs_to,,,,,,,,,,L_44484
O_8,belongs_to,,,,,,,,,,L_44169
O_9,belongs_to,,,,,,,,,,L_2211
O_10,belongs_to,,,,,,,,,,L_8920
O_11,belongs_to,,,,,,,,,,L_80713
O_12,belongs_to,,,,,,,,,,L_57244
O_13,belongs_to,,,,,,,,,,L_96813
O_14,belongs_to,,,,,,,,,,L_91354
O_15,belongs_to,,,,,,,,,,L_72966
O_16,belongs_to,,,,,,,,,,L_16876
O_17,belongs_to,,,,,,,,,,L_15506
O_18,belongs_to,,,,,,,,,,L_12700
O_19,belongs_to,,,,,,,,,,L_5998
O_20,belongs_to,,,,,,,,,,L_31267
O_21,belongs_to,,,,,,,,,,L_90972
O_22,belongs_to,,,,,,,,,,L_69436
O_23,belongs_to,,,,,,,,,,L_74811
O_24,belongs_to,,,,,,,,,,L_25823
O_25,belongs_to,,,,,,,,,,L_59027
O_26,belongs_to,,,,,,,,,,L_29488
O_27,belongs_to,,,,,,,,,,L_6411
O_28,belongs_to,,,,,,,,,,L_69928
O_29,belongs_to,,,,,,,,,,L_1106
O_30,belongs_to,,,,,,,,,,L_57407
O_31,belongs_to,,,,,,,,,,L_98426
O_32,belongs_to,,,,,,,,,,L_76721
O_33,belongs_to,,,,,,,,,,L_15437
O_34,belongs_to,,,,,,,,,,L_32749
O_35,belongs_to,,,,,,,,,,L_27989
O_36,belongs_to,,,,,,,,,,L_55382
O_37,belongs_to,,,,,,,,,,L_2174
O_38,belongs_to,,,,,,,,,,L_94086
O_39,belongs_to,,,,,,,,,,L_9542
O_40,belongs_to,,,,,,,,,,L_26503
O_41,belongs_to,,,,,,,,,,L_5236
O_42,belongs_to,,,,,,,,,,L_46642
O_43,belongs_to,,,,,,,,,,L_60953
O_44,belongs_to,,,,,,,,,,L_24059
O_45,belongs_to,,,,,,,,,,L_56234
O_46,belongs_to,,,,,,,,,,L_60046
O_47,belongs_to,,,,,,,,,,L_73441
O_48,belongs_to,,,,,,,,,,L_914
O_49,belongs_to,,,,,,,,,,L_10550
O_50,belongs_to,,,,,,,,,,L_11801
O_51,belongs_to,,,,,,,,,,L_75736
O_52,belongs_to,,,,,,,,,,L_13883
O_53,belongs_to,,,,,,,,,,L_42959
O_54,belongs_to,,,,,,,,,,L_51146
O_55,belongs_to,,,,,,,,,,L_69192
O_56,belongs_to,,,,,,,,,,L_42250
O_57,belongs_to,,,,,,,,,,L_25127
O_58,belongs_to,,,,,,,,,,L_76379
O_59,belongs_to,,,,,,,,,,L_62188
O_60,belongs_to,,,,,,,,,,L_29083
O_61,belongs_to,,,,,,,,,,L_28882
O_62,belongs_to,,,,,,,,,,L_1604
O_63,belongs_to,,,,,,,,,,L_83886
O_64,belongs_to,,,,,,,,,,L_10968
O_65,belongs_to,,,,,,,,,,L_88294
O_66,belongs_to,,,,,,,,,,L_20237
O_67,belongs_to,,,,,,,,,,L_17988
O_68,belongs_to,,,,,,,,,,L_39952
O_69,belongs_to,,,,,,,,,,L_85524
O_70,belongs_to,,,,,,,,,,L_2242
O_71,belongs_to,,,,,,,,,,L_26814
O_72,belongs_to,,,,,,,,,,L_41248
O_73,belongs_to,,,,,,,,,,L_20780
O_74,belongs_to,,,,,,,,,,L_72742
O_75,belongs_to,,,,,,,,,,L_38491
O_76,belongs_to,,,,,,,,,,L_23953
O_77,belongs_to,,,,,,,,,,L_75939
O_78,belongs_to,,,,,,,,,,L_19725
O_79,belongs_to,,,,,,,,,,L_95696
O_80,belongs_to,,,,,,,,,,L_3328
O_81,belongs_to,,,,,,,,,,L_99831
O_82,belongs_to,,,,,,,,,,L_99134
O_83,belongs_to,,,,,,,,,,L_14369
O_84,belongs_to,,,,,,,,,,L_71536
O_85,belongs_to,,,,,,,,,,L_42990
O_86,belongs_to,,,,,,,,,,L_54294
O_87,belongs_to,,,,,,,,,,L_34488
O_88,belongs_to,,,,,,,,,,L_58505
O_89,belongs_to,,,,,,,,,,L_19365
O_90,belongs_to,,,,,,,,,,L_81487
O_91,belongs_to,,,,,,,,,,L_26674
O_92,belongs_to,,,,,,,,,,L_52272
O_93,belongs_to,,,,,,,,,,L_39357
O_94,belongs_to,,,,,,,,,,L_38619
O_95,belongs_to,,,,,,,,,,L_42628
O_96,belongs_to,,,,,,,,,,L_20837
O_97,belongs_to,,,,,,,,,,L_77163
O_98,belongs_to,,,,,,,,,,L_13015
O_99,belongs_to,,,,,,,,,,L_14898
O_100,belongs_to,,,,,,,,,,L_47275
O_101,belongs_to,,,,,,,,,,L_46408
O_102,belongs_to,,,,,,,,,,L_69869
O_103,belongs_to,,,,,,,,,,L_7451
