id,label,name,license_plate,status,city,zipcode,order_id,product,quantity,status,to_id
D_0,drives,,,,,,,,,,L_74881
D_1,drives,,,,,,,,,,L_68803
D_2,drives,,,,,,,,,,L_43966
D_3,drives,,,,,,,,,,L_26201
D_4,drives,,,,,,,,,,L_89808
D_5,drives,,,,,,,,,,L_75092
D_6,drives,,,,,,,,,,L_70323
D_7,drives,,,,,,,,,,L_62594
D_8,drives,,,,,,,,,,L_42523
D_9,drives,,,,,,,,,,L_94752
D_10,drives,,,,,,,,,,L_38955
D_11,drives,,,,,,,,,,L_43243
D_12,drives,,,,,,,,,,L_92852
D_13,drives,,,,,,,,,,L_63623
D_14,drives,,,,,,,,,,L_86080
D_15,drives,,,,,,,,,,L_25985
D_16,drives,,,,,,,,,,L_51728
D_17,drives,,,,,,,,,,L_80401
D_18,drives,,,,,,,,,,L_98057
D_19,drives,,,,,,,,,,L_24187
D_20,drives,,,,,,,,,,L_88272
D_21,drives,,,,,,,,,,L_63094
D_22,drives,,,,,,,,,,L_26136
D_23,drives,,,,,,,,,,L_99688
D_24,drives,,,,,,,,,,L_13316
D_25,drives,,,,,,,,,,L_13959
D_26,drives,,,,,,,,,,L_93818
D_27,drives,,,,,,,,,,L_7512
D_28,drives,,,,,,,,,,L_14285
D_29,drives,,,,,,,,,,L_46492
D_30,drives,,,,,,,,,,L_67223
D_31,drives,,,,,,,,,,L_1355
D_32,drives,,,,,,,,,,L_62270
D_33,drives,,,,,,,,,,L_94029
D_34,drives,,,,,,,,,,L_31403
D_35,drives,,,,,,,,,,L_9385
D_36,drives,,,,,,,,,,L_95759
D_37,drives,,,,,,,,,,L_15810
D_38,drives,,,,,,,,,,L_48057
D_39,drives,,,,,,,,,,L_90633
D_40,drives,,,,,,,,,,L_78701
D_41,drives,,,,,,,,,,L_7229
D_42,drives,,,,,,,,,,L_31791
D_43,drives,,,,,,,,,,L_7370
D_44,drives,,,,,,,,,,L_7559
D_45,drives,,,,,,,,,,L_96481
D_46,drives,,,,,,,,,,L_11095
D_47,drives,,,,,,,,,,L_30936
D_48,drives,,,,,,,,,,L_59768
D_49,drives,,,,,,,,,,L_49818
D_50,drives,,,,,,,,,,L_85646
D_51,drives,,,,,,,,,,L_5847
D_52,drives,,,,,,,,,,L_43450
