id,name,license_plate,status,status
D_0,Driver_13,ABC141XYZ,available,available
D_1,Driver_52,ABC583XYZ,off-duty,off-duty
D_2,Driver_98,ABC661XYZ,on-duty,on-duty
D_3,Driver_50,ABC512XYZ,available,available
D_4,Driver_37,ABC732XYZ,off-duty,off-duty
D_5,Driver_50,ABC182XYZ,available,available
D_6,Driver_36,ABC972XYZ,available,available
D_7,Driver_82,ABC629XYZ,off-duty,off-duty
D_8,Driver_22,ABC129XYZ,available,available
D_9,Driver_32,ABC610XYZ,available,available
D_10,Driver_5,ABC151XYZ,available,available
D_11,Driver_27,ABC875XYZ,off-duty,off-duty
D_12,Driver_31,ABC118XYZ,off-duty,off-duty
D_13,Driver_27,ABC496XYZ,available,available
D_14,Driver_93,ABC805XYZ,off-duty,off-duty
D_15,Driver_46,ABC550XYZ,off-duty,off-duty
D_16,Driver_74,ABC838XYZ,available,available
D_17,Driver_65,ABC985XYZ,off-duty,off-duty
D_18,Driver_81,ABC386XYZ,available,available
D_19,Driver_27,ABC574XYZ,on-duty,on-duty
D_20,Driver_77,ABC244XYZ,available,available
D_21,Driver_38,ABC925XYZ,available,available
D_22,Driver_67,ABC757XYZ,available,available
D_23,Driver_80,ABC611XYZ,available,available
D_24,Driver_15,ABC710XYZ,on-duty,on-duty
D_25,Driver_73,ABC572XYZ,on-duty,on-duty
D_26,Driver_46,ABC410XYZ,on-duty,on-duty
D_27,Driver_40,ABC824XYZ,off-duty,off-duty
D_28,Driver_60,ABC371XYZ,off-duty,off-duty
D_29,Driver_92,ABC472XYZ,off-duty,off-duty
D_30,Driver_96,ABC707XYZ,off-duty,off-duty
D_31,Driver_26,ABC295XYZ,available,available
D_32,Driver_35,ABC141XYZ,on-duty,on-duty
D_33,Driver_81,ABC256XYZ,off-duty,off-duty
D_34,Driver_13,ABC287XYZ,on-duty,on-duty
D_35,Driver_90,ABC345XYZ,available,available
D_36,Driver_54,ABC580XYZ,on-duty,on-duty
D_37,Driver_36,ABC459XYZ,off-duty,off-duty
D_38,Driver_70,ABC942XYZ,available,available
D_39,Driver_88,ABC546XYZ,available,available
D_40,Driver_89,ABC901XYZ,available,available
D_41,Driver_64,ABC306XYZ,available,available
D_42,Driver_15,ABC331XYZ,on-duty,on-duty
D_43,Driver_96,ABC256XYZ,off-duty,off-duty
D_44,Driver_29,ABC616XYZ,off-duty,off-duty
D_45,Driver_27,ABC246XYZ,available,available
D_46,Driver_47,ABC690XYZ,available,available
D_47,Driver_24,ABC319XYZ,on-duty,on-duty
D_48,Driver_33,ABC583XYZ,off-duty,off-duty
D_49,Driver_65,ABC938XYZ,available,available
D_50,Driver_52,ABC770XYZ,available,available
D_51,Driver_71,ABC707XYZ,off-duty,off-duty
D_52,Driver_100,ABC853XYZ,on-duty,on-duty
D_53,Driver_91,ABC747XYZ,on-duty,on-duty
D_54,Driver_61,ABC842XYZ,on-duty,on-duty
D_55,Driver_5,ABC823XYZ,off-duty,off-duty
D_56,Driver_97,ABC908XYZ,available,available
D_57,Driver_44,ABC546XYZ,available,available
D_58,Driver_99,ABC798XYZ,available,available
D_59,Driver_38,ABC618XYZ,off-duty,off-duty
D_60,Driver_24,ABC637XYZ,off-duty,off-duty
D_61,Driver_94,ABC385XYZ,available,available
D_62,Driver_30,ABC959XYZ,on-duty,on-duty
D_63,Driver_80,ABC920XYZ,on-duty,on-duty
D_64,Driver_16,ABC100XYZ,on-duty,on-duty
D_65,Driver_43,ABC609XYZ,on-duty,on-duty
D_66,Driver_93,ABC729XYZ,on-duty,on-duty
D_67,Driver_56,ABC574XYZ,off-duty,off-duty
D_68,Driver_25,ABC702XYZ,available,available
D_69,Driver_4,ABC507XYZ,off-duty,off-duty
D_70,Driver_76,ABC614XYZ,off-duty,off-duty
D_71,Driver_81,ABC237XYZ,on-duty,on-duty
D_72,Driver_49,ABC113XYZ,on-duty,on-duty
D_73,Driver_59,ABC921XYZ,on-duty,on-duty
D_74,Driver_32,ABC820XYZ,on-duty,on-duty
D_75,Driver_37,ABC200XYZ,off-duty,off-duty
D_76,Driver_84,ABC961XYZ,on-duty,on-duty
D_77,Driver_47,ABC481XYZ,off-duty,off-duty
D_78,Driver_91,ABC571XYZ,available,available
D_79,Driver_85,ABC846XYZ,on-duty,on-duty
D_80,Driver_12,ABC339XYZ,off-duty,off-duty
D_81,Driver_67,ABC524XYZ,on-duty,on-duty
D_82,Driver_4,ABC658XYZ,on-duty,on-duty
D_83,Driver_18,ABC130XYZ,available,available
D_84,Driver_90,ABC685XYZ,on-duty,on-duty
D_85,Driver_77,ABC454XYZ,available,available
D_86,Driver_15,ABC456XYZ,off-duty,off-duty
D_87,Driver_8,ABC537XYZ,off-duty,off-duty
D_88,Driver_89,ABC785XYZ,available,available
D_89,Driver_10,ABC204XYZ,off-duty,off-duty
D_90,Driver_19,ABC377XYZ,off-duty,off-duty
D_91,Driver_100,ABC727XYZ,available,available
D_92,Driver_82,ABC645XYZ,available,available
D_93,Driver_77,ABC188XYZ,available,available
D_94,Driver_30,ABC414XYZ,available,available
D_95,Driver_33,ABC772XYZ,available,available
D_96,Driver_40,ABC479XYZ,available,available
D_97,Driver_34,ABC891XYZ,on-duty,on-duty
D_98,Driver_46,ABC345XYZ,available,available
D_99,Driver_10,ABC209XYZ,available,available
D_100,Driver_43,ABC204XYZ,on-duty,on-duty
D_101,Driver_34,ABC558XYZ,on-duty,on-duty
D_102,Driver_59,ABC189XYZ,available,available
D_103,Driver_7,ABC380XYZ,off-duty,off-duty
D_104,Driver_95,ABC627XYZ,off-duty,off-duty
D_105,Driver_75,ABC530XYZ,off-duty,off-duty
D_106,Driver_10,ABC979XYZ,off-duty,off-duty
D_107,Driver_26,ABC664XYZ,on-duty,on-duty
D_108,Driver_70,ABC723XYZ,available,available
D_109,Driver_2,ABC636XYZ,off-duty,off-duty
D_110,Driver_41,ABC235XYZ,off-duty,off-duty
D_111,Driver_29,ABC145XYZ,off-duty,off-duty
D_112,Driver_18,ABC960XYZ,on-duty,on-duty
D_113,Driver_5,ABC320XYZ,on-duty,on-duty
D_114,Driver_82,ABC721XYZ,on-duty,on-duty
D_115,Driver_96,ABC937XYZ,available,available
D_116,Driver_47,ABC501XYZ,available,available
D_117,Driver_97,ABC753XYZ,available,available
D_118,Driver_54,ABC566XYZ,off-duty,off-duty
D_119,Driver_84,ABC942XYZ,on-duty,on-duty
D_120,Driver_35,ABC673XYZ,off-duty,off-duty
D_121,Driver_26,ABC685XYZ,on-duty,on-duty
D_122,Driver_76,ABC591XYZ,on-duty,on-duty
D_123,Driver_41,ABC379XYZ,available,available
D_124,Driver_52,ABC989XYZ,off-duty,off-duty
D_125,Driver_33,ABC275XYZ,on-duty,on-duty
D_126,Driver_35,ABC550XYZ,on-duty,on-duty
D_127,Driver_6,ABC704XYZ,on-duty,on-duty
D_128,Driver_28,ABC402XYZ,available,available
D_129,Driver_44,ABC692XYZ,on-duty,on-duty
D_130,Driver_65,ABC875XYZ,on-duty,on-duty
D_131,Driver_63,ABC329XYZ,available,available
D_132,Driver_74,ABC693XYZ,on-duty,on-duty
D_133,Driver_27,ABC308XYZ,off-duty,off-duty
D_134,Driver_77,ABC318XYZ,available,available
D_135,Driver_94,ABC566XYZ,available,available
D_136,Driver_73,ABC334XYZ,on-duty,on-duty
D_137,Driver_79,ABC488XYZ,on-duty,on-duty
D_138,Driver_17,ABC496XYZ,on-duty,on-duty
D_139,Driver_86,ABC409XYZ,off-duty,off-duty
