id,name,city,zipcode
L_0,Location_34,City_2,58016
L_1,Location_55,City_7,10156
L_2,Location_8,City_4,14818
L_3,Location_81,City_1,80723
L_4,Location_38,City_9,74555
L_5,Location_6,City_4,19184
L_6,Location_67,City_6,30727
L_7,Location_64,City_3,48692
L_8,Location_94,City_2,17253
L_9,Location_95,City_6,77905
L_10,Location_75,City_6,19075
L_11,Location_53,City_2,20490
L_12,Location_45,City_6,69603
L_13,Location_63,City_9,39573
L_14,Location_25,City_9,99410
L_15,Location_20,City_6,28109
L_16,Location_71,City_1,24775
L_17,Location_82,City_8,88116
L_18,Location_70,City_8,85307
L_19,Location_5,City_4,23367
L_20,Location_9,City_7,73708
L_21,Location_48,City_5,35126
L_22,Location_50,City_6,72821
L_23,Location_56,City_3,68321
L_24,Location_9,City_1,26037
L_25,Location_52,City_4,32589
L_26,Location_66,City_4,42138
L_27,Location_53,City_10,45624
L_28,Location_10,City_2,25873
L_29,Location_37,City_3,36832
L_30,Location_82,City_5,84637
L_31,Location_66,City_7,53423
L_32,Location_99,City_5,40018
L_33,Location_58,City_10,43820
L_34,Location_51,City_2,92879
L_35,Location_23,City_6,55603
L_36,Location_67,City_8,55720
L_37,Location_77,City_5,52629
L_38,Location_88,City_1,15006
L_39,Location_90,City_4,29574
L_40,Location_58,City_7,27555
L_41,Location_23,City_7,17355
L_42,Location_96,City_2,34390
L_43,Location_17,City_5,31873
L_44,Location_88,City_10,98379
L_45,Location_63,City_10,89661
L_46,Location_26,City_6,37715
L_47,Location_34,City_6,74566
L_48,Location_14,City_5,36273
L_49,Location_60,City_5,17150
L_50,Location_80,City_2,71599
L_51,Location_16,City_4,74865
L_52,Location_54,City_1,45496
L_53,Location_1,City_8,88589
L_54,Location_93,City_7,14887
L_55,Location_13,City_9,31116
L_56,Location_59,City_8,50530
L_57,Location_26,City_3,41427
L_58,Location_64,City_4,29238
L_59,Location_22,City_9,34472
L_60,Location_29,City_10,70047
L_61,Location_6,City_5,29441
L_62,Location_87,City_6,72186
L_63,Location_5,City_4,51673
L_64,Location_1,City_10,10966
L_65,Location_19,City_6,70911
L_66,Location_19,City_6,97892
L_67,Location_53,City_7,51021
L_68,Location_90,City_7,39172
L_69,Location_19,City_3,76046
L_70,Location_94,City_6,87496
L_71,Location_52,City_1,61777
L_72,Location_86,City_6,48667
L_73,Location_71,City_8,80502
L_74,Location_89,City_9,81486
L_75,Location_16,City_10,24394
L_76,Location_82,City_9,92229
L_77,Location_30,City_1,21924
L_78,Location_3,City_4,59612
L_79,Location_25,City_10,81368
L_80,Location_97,City_1,54832
L_81,Location_47,City_8,31790
L_82,Location_17,City_4,91131
L_83,Location_45,City_10,97894
L_84,Location_95,City_10,36311
L_85,Location_99,City_6,90114
L_86,Location_85,City_6,46483
L_87,Location_10,City_9,78415
L_88,Location_90,City_7,28278
L_89,Location_84,City_8,67800
L_90,Location_41,City_6,92530
L_91,Location_28,City_6,85533
L_92,Location_69,City_4,35511
L_93,Location_65,City_6,93540
L_94,Location_47,City_3,46036
L_95,Location_78,City_4,19683
L_96,Location_74,City_2,49138
L_97,Location_67,City_5,78378
L_98,Location_88,City_2,71855
L_99,Location_97,City_9,74490
L_100,Location_78,City_3,21005
L_101,Location_52,City_1,80615
L_102,Location_67,City_6,99792
L_103,Location_99,City_1,67002
L_104,Location_70,City_7,31618
L_105,Location_61,City_9,61040
L_106,Location_44,City_2,96791
L_107,Location_43,City_8,59310
L_108,Location_17,City_9,99902
L_109,Location_93,City_2,19606
L_110,Location_7,City_10,70892
L_111,Location_70,City_4,74530
L_112,Location_14,City_9,27609
L_113,Location_30,City_9,37532
L_114,Location_1,City_6,71637
L_115,Location_23,City_6,34802
L_116,Location_81,City_2,18053
L_117,Location_46,City_4,51001
L_118,Location_28,City_3,65376
L_119,Location_63,City_5,58694
L_120,Location_67,City_2,28721
L_121,Location_91,City_2,10503
L_122,Location_11,City_6,77471
L_123,Location_41,City_1,66878
L_124,Location_42,City_8,27691
L_125,Location_72,City_10,63432
L_126,Location_49,City_4,97299
L_127,Location_54,City_6,85501
L_128,Location_17,City_7,35479
L_129,Location_53,City_4,55376
L_130,Location_60,City_4,82858
L_131,Location_96,City_3,83741
L_132,Location_16,City_7,73921
L_133,Location_61,City_3,23301
L_134,Location_21,City_3,47558
L_135,Location_82,City_3,45604
L_136,Location_66,City_8,38804
L_137,Location_75,City_4,20241
L_138,Location_55,City_4,23484
L_139,Location_34,City_8,30930
L_140,Location_76,City_5,75962
L_141,Location_72,City_5,47737
L_142,Location_5,City_8,36682
L_143,Location_48,City_10,26602
L_144,Location_32,City_7,81664
L_145,Location_64,City_6,69330
L_146,Location_39,City_1,33482
L_147,Location_98,City_1,54410
L_148,Location_2,City_9,16718
L_149,Location_55,City_2,18799
L_150,Location_80,City_5,17184
L_151,Location_63,City_9,71166
L_152,Location_69,City_8,39793
L_153,Location_16,City_3,91789
L_154,Location_46,City_1,98625
L_155,Location_71,City_7,96758
L_156,Location_30,City_4,48101
L_157,Location_34,City_9,74432
L_158,Location_16,City_4,14767
L_159,Location_68,City_6,17870
L_160,Location_64,City_2,42890
L_161,Location_25,City_7,53964
L_162,Location_84,City_5,91044
L_163,Location_75,City_4,15109
L_164,Location_73,City_6,78147
L_165,Location_78,City_2,22273
L_166,Location_66,City_6,71247
L_167,Location_77,City_3,95684
L_168,Location_88,City_10,95515
L_169,Location_2,City_10,30754
L_170,Location_42,City_10,13673
L_171,Location_35,City_10,61410
L_172,Location_56,City_2,95943
L_173,Location_82,City_9,83582
L_174,Location_72,City_5,11966
L_175,Location_73,City_5,33758
L_176,Location_16,City_2,97511
L_177,Location_95,City_5,16858
L_178,Location_46,City_9,71654
L_179,Location_51,City_6,76049
L_180,Location_18,City_8,67342
L_181,Location_10,City_6,86171
L_182,Location_76,City_6,70799
L_183,Location_19,City_3,50602
L_184,Location_26,City_6,68996
L_185,Location_70,City_10,68413
L_186,Location_55,City_10,31198
L_187,Location_33,City_4,15770
L_188,Location_68,City_8,36429
L_189,Location_91,City_4,84167
L_190,Location_64,City_7,51176
L_191,Location_30,City_2,47874
L_192,Location_41,City_1,26509
L_193,Location_25,City_10,90954
L_194,Location_29,City_1,45762
L_195,Location_62,City_4,98051
L_196,Location_28,City_9,92902
L_197,Location_20,City_2,34197
L_198,Location_65,City_6,73588
L_199,Location_5,City_8,12668
L_200,Location_94,City_9,56901
L_201,Location_32,City_2,68783
L_202,Location_100,City_8,35870
L_203,Location_44,City_2,32937
L_204,Location_43,City_1,77199
L_205,Location_75,City_3,31997
L_206,Location_38,City_7,43741
L_207,Location_59,City_6,43320
L_208,Location_32,City_4,41254
L_209,Location_77,City_5,13682
L_210,Location_21,City_5,33612
L_211,Location_36,City_1,95112
L_212,Location_86,City_9,93669
L_213,Location_3,City_10,91211
L_214,Location_58,City_5,55095
L_215,Location_87,City_5,64342
L_216,Location_58,City_9,22412
L_217,Location_28,City_5,73350
L_218,Location_92,City_5,55508
L_219,Location_6,City_5,16667
L_220,Location_11,City_9,47657
L_221,Location_70,City_10,87414
L_222,Location_89,City_4,61589
L_223,Location_48,City_7,88838
L_224,Location_44,City_7,17419
L_225,Location_80,City_5,54319
L_226,Location_77,City_8,82743
L_227,Location_37,City_4,65466
L_228,Location_7,City_3,17715
L_229,Location_42,City_4,92000
L_230,Location_9,City_9,84374
L_231,Location_37,City_7,23706
L_232,Location_54,City_3,26632
L_233,Location_74,City_10,43819
L_234,Location_84,City_3,90841
L_235,Location_66,City_2,56618
L_236,Location_14,City_1,98704
L_237,Location_95,City_4,72527
L_238,Location_58,City_10,80971
L_239,Location_49,City_10,28255
L_240,Location_93,City_5,10289
L_241,Location_97,City_1,15649
L_242,Location_96,City_7,80650
L_243,Location_23,City_5,31511
L_244,Location_30,City_4,79340
L_245,Location_53,City_5,69054
L_246,Location_25,City_2,25475
L_247,Location_33,City_4,92224
L_248,Location_69,City_8,52444
L_249,Location_91,City_10,49801
L_250,Location_48,City_7,70311
L_251,Location_88,City_4,63037
L_252,Location_58,City_6,33147
L_253,Location_9,City_1,90925
L_254,Location_86,City_6,64558
L_255,Location_2,City_10,31388
L_256,Location_22,City_4,43922
L_257,Location_66,City_8,24180
L_258,Location_83,City_2,76966
L_259,Location_34,City_5,55691
L_260,Location_77,City_9,55149
L_261,Location_31,City_7,54238
L_262,Location_29,City_1,46128
L_263,Location_22,City_5,63316
L_264,Location_85,City_6,47249
L_265,Location_69,City_9,82153
L_266,Location_37,City_1,65307
L_267,Location_27,City_7,29932
L_268,Location_12,City_3,28800
L_269,Location_96,City_3,49530
L_270,Location_72,City_10,61926
L_271,Location_32,City_4,96290
L_272,Location_86,City_4,82797
L_273,Location_52,City_6,15563
L_274,Location_37,City_1,50332
L_275,Location_50,City_4,60641
L_276,Location_50,City_8,82711
L_277,Location_36,City_1,52600
L_278,Location_4,City_10,93686
L_279,Location_9,City_8,65971
L_280,Location_67,City_2,80056
L_281,Location_76,City_9,18806
L_282,Location_13,City_6,61914
L_283,Location_83,City_5,67539
L_284,Location_19,City_6,34556
L_285,Location_15,City_2,90271
L_286,Location_88,City_10,41616
L_287,Location_26,City_7,52456
L_288,Location_51,City_3,38450
L_289,Location_96,City_7,37968
L_290,Location_88,City_2,87793
L_291,Location_43,City_7,31428
L_292,Location_22,City_6,33416
L_293,Location_79,City_5,33635
L_294,Location_74,City_5,87947
L_295,Location_68,City_10,53284
L_296,Location_53,City_5,61176
L_297,Location_42,City_2,49237
L_298,Location_79,City_1,61775
L_299,Location_22,City_8,32374
L_300,Location_8,City_10,16500
L_301,Location_11,City_5,36721
L_302,Location_2,City_9,74390
L_303,Location_1,City_9,10568
L_304,Location_14,City_5,46493
L_305,Location_10,City_5,82052
L_306,Location_57,City_2,56331
L_307,Location_46,City_2,11092
L_308,Location_43,City_9,84728
L_309,Location_19,City_2,77651
L_310,Location_23,City_6,86153
L_311,Location_16,City_6,55295
L_312,Location_90,City_4,52806
L_313,Location_99,City_1,71509
L_314,Location_35,City_7,94968
L_315,Location_52,City_10,29641
L_316,Location_62,City_7,63688
L_317,Location_72,City_2,84348
L_318,Location_45,City_4,16334
L_319,Location_87,City_6,95014
L_320,Location_47,City_1,90772
L_321,Location_50,City_10,46175
L_322,Location_47,City_2,27430
L_323,Location_21,City_8,66696
L_324,Location_82,City_4,16056
L_325,Location_66,City_5,32302
L_326,Location_59,City_1,47217
L_327,Location_95,City_2,37353
L_328,Location_13,City_3,15417
L_329,Location_99,City_3,37397
L_330,Location_63,City_3,34084
L_331,Location_14,City_6,16980
L_332,Location_36,City_8,33198
L_333,Location_42,City_9,36660
L_334,Location_36,City_1,29045
L_335,Location_78,City_1,57913
L_336,Location_27,City_7,28993
L_337,Location_90,City_8,98952
L_338,Location_39,City_9,57361
L_339,Location_71,City_9,25576
L_340,Location_72,City_10,97330
L_341,Location_45,City_10,50915
L_342,Location_57,City_3,31572
L_343,Location_72,City_5,92044
L_344,Location_48,City_10,62647
L_345,Location_12,City_2,67742
L_346,Location_20,City_3,74957
L_347,Location_43,City_1,56131
L_348,Location_82,City_5,94706
L_349,Location_25,City_4,33975
L_350,Location_1,City_6,95952
L_351,Location_91,City_5,68597
L_352,Location_8,City_1,90237
L_353,Location_73,City_2,40300
L_354,Location_84,City_4,49325
L_355,Location_33,City_6,80642
L_356,Location_51,City_3,90114
L_357,Location_1,City_10,35935
L_358,Location_2,City_2,27877
L_359,Location_73,City_1,55925
L_360,Location_84,City_6,11288
L_361,Location_5,City_7,55543
L_362,Location_55,City_2,45718
L_363,Location_59,City_4,96469
L_364,Location_38,City_7,36409
L_365,Location_33,City_8,38065
L_366,Location_30,City_3,78156
L_367,Location_22,City_1,11708
L_368,Location_3,City_10,50402
L_369,Location_62,City_9,49063
L_370,Location_20,City_6,19856
L_371,Location_79,City_3,12454
L_372,Location_97,City_5,44040
L_373,Location_26,City_7,21225
L_374,Location_72,City_8,91594
L_375,Location_49,City_9,98627
L_376,Location_6,City_8,76840
L_377,Location_49,City_9,33503
L_378,Location_52,City_7,82979
L_379,Location_11,City_10,45637
L_380,Location_79,City_3,29069
L_381,Location_39,City_9,32289
L_382,Location_84,City_4,74508
L_383,Location_1,City_4,43321
L_384,Location_81,City_1,58513
L_385,Location_37,City_10,26340
L_386,Location_28,City_2,20525
L_387,Location_78,City_8,41865
L_388,Location_26,City_6,45454
L_389,Location_21,City_9,59773
L_390,Location_93,City_9,15125
L_391,Location_34,City_10,27714
L_392,Location_19,City_7,71984
L_393,Location_77,City_7,37019
L_394,Location_6,City_6,82981
L_395,Location_48,City_10,18533
L_396,Location_91,City_10,79727
L_397,Location_93,City_8,26780
L_398,Location_26,City_7,58303
L_399,Location_20,City_1,48776
L_400,Location_3,City_3,55308
L_401,Location_41,City_6,64330
L_402,Location_23,City_8,52958
L_403,Location_85,City_10,19980
L_404,Location_62,City_7,92265
L_405,Location_87,City_5,20283
L_406,Location_39,City_7,72070
L_407,Location_77,City_1,90146
L_408,Location_47,City_3,27634
L_409,Location_56,City_5,59410
L_410,Location_27,City_2,45690
L_411,Location_81,City_8,80575
L_412,Location_70,City_5,98818
L_413,Location_88,City_1,27709
L_414,Location_8,City_10,61684
L_415,Location_28,City_8,91389
L_416,Location_42,City_6,48397
L_417,Location_18,City_7,47791
L_418,Location_7,City_1,42901
L_419,Location_48,City_10,73188
L_420,Location_61,City_9,13302
L_421,Location_4,City_2,46201
L_422,Location_57,City_3,92847
L_423,Location_94,City_9,63698
L_424,Location_86,City_3,77627
L_425,Location_55,City_3,94511
L_426,Location_7,City_9,88753
L_427,Location_53,City_3,20279
L_428,Location_97,City_1,98567
L_429,Location_79,City_8,30655
L_430,Location_71,City_9,81021
L_431,Location_20,City_3,35407
L_432,Location_13,City_3,60399
L_433,Location_37,City_7,78950
L_434,Location_27,City_7,65313
L_435,Location_9,City_4,50576
L_436,Location_20,City_8,40116
L_437,Location_69,City_1,11876
L_438,Location_48,City_1,24090
L_439,Location_11,City_9,16780
L_440,Location_3,City_9,70881
L_441,Location_84,City_10,38179
L_442,Location_56,City_4,23303
L_443,Location_1,City_9,10091
L_444,Location_68,City_7,45450
L_445,Location_35,City_4,79085
L_446,Location_69,City_8,24967
L_447,Location_37,City_10,96393
L_448,Location_86,City_8,13960
L_449,Location_70,City_10,23729
L_450,Location_5,City_8,35334
L_451,Location_16,City_1,77124
L_452,Location_50,City_3,84022
L_453,Location_56,City_8,81039
L_454,Location_80,City_3,64002
L_455,Location_85,City_1,94287
L_456,Location_66,City_2,53374
L_457,Location_4,City_9,32773
L_458,Location_65,City_5,43339
L_459,Location_9,City_7,57687
L_460,Location_78,City_7,76260
L_461,Location_17,City_3,18946
L_462,Location_81,City_3,92933
L_463,Location_99,City_9,62761
L_464,Location_57,City_1,90870
L_465,Location_100,City_10,21380
L_466,Location_94,City_7,99600
L_467,Location_24,City_1,65588
L_468,Location_45,City_9,71009
L_469,Location_55,City_9,98532
L_470,Location_4,City_10,47381
L_471,Location_53,City_8,55017
L_472,Location_48,City_9,14301
L_473,Location_54,City_8,97771
L_474,Location_60,City_7,38584
L_475,Location_33,City_10,40783
L_476,Location_16,City_7,62882
L_477,Location_7,City_9,63794
L_478,Location_47,City_7,39997
L_479,Location_67,City_10,97402
L_480,Location_87,City_5,62428
L_481,Location_71,City_5,87778
L_482,Location_85,City_2,43221
L_483,Location_38,City_5,25371
L_484,Location_3,City_1,64869
L_485,Location_55,City_1,78065
L_486,Location_84,City_10,66761
L_487,Location_96,City_6,60011
L_488,Location_56,City_6,84165
L_489,Location_7,City_5,48161
L_490,Location_54,City_9,32254
L_491,Location_99,City_2,37870
L_492,Location_19,City_2,87362
L_493,Location_96,City_8,98037
L_494,Location_20,City_8,19448
L_495,Location_100,City_8,31511
L_496,Location_86,City_5,30892
L_497,Location_77,City_8,57291
L_498,Location_47,City_7,96598
L_499,Location_54,City_9,77957
L_500,Location_60,City_10,24857
L_501,Location_57,City_4,40278
L_502,Location_59,City_10,94300
L_503,Location_28,City_4,40629
L_504,Location_86,City_1,48867
L_505,Location_1,City_5,11629
L_506,Location_54,City_3,58125
L_507,Location_94,City_6,50019
L_508,Location_25,City_3,45969
L_509,Location_82,City_9,70039
L_510,Location_57,City_9,76259
L_511,Location_100,City_4,96317
L_512,Location_69,City_1,40618
L_513,Location_68,City_9,34416
L_514,Location_53,City_5,80079
L_515,Location_50,City_2,22263
L_516,Location_64,City_4,17187
L_517,Location_73,City_6,45838
L_518,Location_97,City_3,79976
L_519,Location_95,City_2,45843
L_520,Location_4,City_2,31484
L_521,Location_79,City_7,74083
L_522,Location_86,City_4,72899
L_523,Location_15,City_1,51090
L_524,Location_1,City_7,49276
L_525,Location_98,City_4,64469
L_526,Location_44,City_3,93246
L_527,Location_79,City_7,95960
L_528,Location_93,City_6,56906
L_529,Location_15,City_1,83336
L_530,Location_40,City_4,22628
L_531,Location_45,City_6,17427
L_532,Location_45,City_7,11975
L_533,Location_8,City_2,27891
L_534,Location_13,City_9,61768
L_535,Location_54,City_4,82089
L_536,Location_76,City_2,60898
L_537,Location_77,City_10,42306
L_538,Location_50,City_4,50635
