id,status,order_id,product,quantity,status
O_0,delivered,1640,Product_9,10,delivered
O_1,shipped,2029,Product_12,5,shipped
O_2,delivered,1685,Product_7,8,delivered
O_3,shipped,9303,Product_3,6,shipped
O_4,delivered,2530,Product_16,7,delivered
O_5,delivered,1079,Product_7,7,delivered
O_6,pending,1412,Product_14,6,pending
O_7,delivered,6426,Product_12,3,delivered
O_8,pending,6737,Product_11,10,pending
O_9,pending,5123,Product_3,7,pending
O_10,shipped,8175,Product_3,4,shipped
O_11,pending,3234,Product_9,2,pending
O_12,shipped,5097,Product_18,3,shipped
O_13,delivered,8408,Product_9,10,delivered
O_14,shipped,9463,Product_10,2,shipped
O_15,pending,6131,Product_6,9,pending
O_16,pending,8848,Product_3,4,pending
O_17,shipped,9127,Product_13,3,shipped
O_18,pending,2651,Product_3,7,pending
O_19,shipped,6010,Product_11,3,shipped
O_20,delivered,2813,Product_6,10,delivered
O_21,delivered,7533,Product_6,4,delivered
O_22,delivered,9008,Product_11,1,delivered
O_23,delivered,9737,Product_2,1,delivered
O_24,shipped,2982,Product_15,9,shipped
O_25,pending,4114,Product_19,9,pending
O_26,delivered,5389,Product_11,9,delivered
O_27,delivered,9318,Product_8,2,delivered
O_28,pending,5254,Product_11,10,pending
O_29,pending,7439,Product_16,7,pending
O_30,pending,5125,Product_12,6,pending
O_31,pending,2269,Product_11,9,pending
O_32,shipped,5327,Product_6,8,shipped
O_33,pending,6743,Product_9,3,pending
O_34,shipped,6718,Product_17,6,shipped
O_35,delivered,1102,Product_5,9,delivered
O_36,pending,7817,Product_12,3,pending
O_37,shipped,7816,Product_4,1,shipped
O_38,pending,5559,Product_15,10,pending
O_39,shipped,3697,Product_20,1,shipped
O_40,pending,9818,Product_2,1,pending
O_41,shipped,2127,Product_16,10,shipped
O_42,pending,3222,Product_2,4,pending
O_43,pending,3494,Product_16,6,pending
O_44,delivered,3657,Product_2,4,delivered
O_45,pending,8900,Product_9,5,pending
O_46,delivered,8812,Product_18,1,delivered
O_47,delivered,3621,Product_12,2,delivered
O_48,pending,2149,Product_7,8,pending
O_49,delivered,5144,Product_15,3,delivered
O_50,delivered,5876,Product_19,6,delivered
O_51,delivered,8870,Product_15,9,delivered
O_52,pending,3997,Product_11,10,pending
O_53,delivered,5518,Product_19,8,delivered
O_54,pending,1977,Product_2,3,pending
O_55,shipped,6599,Product_7,1,shipped
O_56,pending,4734,Product_16,7,pending
O_57,delivered,4314,Product_8,10,delivered
O_58,delivered,2813,Product_18,10,delivered
O_59,delivered,4992,Product_7,7,delivered
O_60,shipped,9317,Product_1,1,shipped
O_61,delivered,7403,Product_6,10,delivered
O_62,shipped,6004,Product_1,2,shipped
O_63,shipped,6306,Product_3,5,shipped
O_64,delivered,1316,Product_20,8,delivered
O_65,pending,1490,Product_13,1,pending
O_66,delivered,8567,Product_18,5,delivered
O_67,delivered,7795,Product_12,10,delivered
O_68,pending,8919,Product_2,4,pending
O_69,shipped,6108,Product_18,9,shipped
